lugar de interes,distancia min,estacion bici max,direccion de lugar de interes,bicis disponibles
Biblioteca Pública Municipal San Blas (San Blas-Canillejas),2385.508204510001,Calle Gutierre de Cetina nº 77,CALLE SAN ROMAN DEL VALLE 8 CENTRO CULTURAL ANTONIO MACHADO,6
Biblioteca Pública Municipal San Fermín (Usera),2031.9465770390466,Calle Sodio nº 1B,AVENIDA SAN FERMIN 10,11
Biblioteca Pública Municipal Vallecas (Puente de Vallecas),139.59592288932677,Calle Arroyo del Olivar nº 6,CALLE PUERTO DEL MONASTERIO 1,24
Biblioteca Pública Municipal Vicálvaro,2946.7976074255866,Calle Hacienda de Pavones nº 342,CALLE VILLARDONDIEGO 36 CENTRO CULTURAL EL MADROÑO,18
Biblioteca Pública Municipal Ángel González (Latina),4441.959942524451,Calle Caramuel nº 51,CALLE GRANJA DE TORREHERMOSA 1,7
Biblioteca Técnica,207.35684469400482,Calle Conde Duque nº 22,CALLE CONDE DUQUE 9,23
"Bolsa de Empleo del Sector Alimentario, Mercamadrid (Agencia de Proximidad)",3864.00479196901,Calle Arroyo del Olivar nº 6, Zona Comercial Local 1E/1F Mercamadrid. Salida 20 de la M-40 ,24
CMSc Centro Municipal de Salud Comunitaria  Chamberí,315.299557064417,Calle Fernández de la Hoz nº 29,CALLE RAFAEL CALVO 6,9
CMSc Centro Municipal de Salud Comunitaria Arganzuela,151.85540100368152,Glorieta de la Puerta de Toledo nº 1,CALLE CONCEJAL BENITO MARTIN LOZANO 1,13
CMSc Centro Municipal de Salud Comunitaria Carabanchel,4076.8202214170137,Calle Caramuel nº 51,CALLE EUGENIA DE MONTIJO 90,7
CMSc Centro Municipal de Salud Comunitaria Centro,107.5011924675112,Calle Jacometrezo nº 3,CALLE NAVAS DE TOLOSA 10,24
CMSc Centro Municipal de Salud Comunitaria Ciudad Lineal,462.57039025803226,Avenida Marqués de Corbera nº 52,PLAZA DE AGUSTÍN GONZALEZ 1,18
CMSc Centro Municipal de Salud Comunitaria Fuencarral,2197.623437917444,Calle Azucenas nº 1,AVENIDA MONFORTE DE LEMOS 38,12
CMSc Centro Municipal de Salud Comunitaria Hortaleza,3196.7482885467734,Calle Carlota O'Neill nº 32,CALLE JUAN CLEMENTE NUÑEZ 3 frente a Silvano 157,14
CMSc Centro Municipal de Salud Comunitaria Latina,1187.4246667474133,Calle Caramuel nº 51,PASEO EXTREMADURA 147,7
CMSc Centro Municipal de Salud Comunitaria Puente de Vallecas,162.94728220449122,Calle Arroyo del Olivar nº 6,CALLE CONCORDIA 15,24
CMSc Centro Municipal de Salud Comunitaria Salamanca Retiro,129.3774221744736,Calle Ayala nº 44,CALLE NUÑEZ DE BALBOA 40,1
CMSc Centro Municipal de Salud Comunitaria Salud Tetuán,494.4183998359947,Calle Azucenas nº 1,CALLE AGUILEÑAS 1,12
CMSc Centro Municipal de Salud Comunitaria San Blas,2374.689569268309,Calle Gutierre de Cetina nº 77,CALLE POBLADURA DEL VALLE 13,6
CMSc Centro Municipal de Salud Comunitaria Usera,2041.8784050454933,Calle San Delfín nº 9,CALLE AVENA 3 (Esquina a calle Heno),17
CMSc Centro Municipal de Salud Comunitaria Vicálvaro,2779.862122497255,Calle Hacienda de Pavones nº 342,CALLE CALAHORRA 11,18
CMSc Centro Municipal de Salud Comunitaria Villa de Vallecas,2684.5491248852827,Calle Hacienda de Pavones nº 342,CALLE SIERRA GADOR 68,18
CMSc Centro Municipal de Salud Comunitaria Villaverde,3323.3660490716384,Calle Sodio nº 1B,AVENIDA FELICIDAD 17,11
Caja Municipal,33.94713656987756,Calle Prim nº 2,CALLE BARQUILLO 17 PLANTA 3ª,24
